"No.","Time",                           "Source","Destination","Protocol","Length","Info"
"50","2025-01-12 20:57:22,588355","192.168.1.21","142.250.82.208","UDP","896","55959  >  3478 Len=854"
"51","2025-01-12 20:57:22,588367","192.168.1.21","142.250.82.208","UDP","897","55959  >  3478 Len=855"
"52","2025-01-12 20:57:22,591087","192.168.1.21","142.250.82.212","UDP","232","58101  >  3478 Len=190"
"53","2025-01-12 20:57:22,611204","192.168.1.21","142.250.82.212","UDP","239","58101  >  3478 Len=197"
"54","2025-01-12 20:57:22,612256","142.250.82.212","192.168.1.21","RTCP","110","Application specific   subtype=13"
"55","2025-01-12 20:57:22,612985","142.250.82.208","192.168.1.21","RTCP","118","Application specific   subtype=13"
"56","2025-01-12 20:57:22,615026","192.168.1.21","142.250.82.208","UDP","1073","55959  >  3478 Len=1031"
"57","2025-01-12 20:57:22,615171","192.168.1.21","142.250.82.208","UDP","1073","55959  >  3478 Len=1031"
"58","2025-01-12 20:57:22,615221","192.168.1.21","142.250.82.208","UDP","1073","55959  >  3478 Len=1031"
"59","2025-01-12 20:57:22,624287","142.250.82.208","192.168.1.21","UDP","78","3478  >  55959 Len=36"
"60","2025-01-12 20:57:22,624670","192.168.1.21","142.250.82.208","UDP","1250","55959  >  3478 Len=1208"
"61","2025-01-12 20:57:22,624739","192.168.1.21","142.250.82.208","UDP","1250","55959  >  3478 Len=1208"
"62","2025-01-12 20:57:22,624762","192.168.1.21","142.250.82.208","UDP","1251","55959  >  3478 Len=1209"
"63","2025-01-12 20:57:22,624783","192.168.1.21","142.250.82.208","UDP","1251","55959  >  3478 Len=1209"
"64","2025-01-12 20:57:22,624801","192.168.1.21","142.250.82.208","UDP","1251","55959  >  3478 Len=1209"
"65","2025-01-12 20:57:22,624833","192.168.1.21","142.250.82.208","UDP","1251","55959  >  3478 Len=1209"
"66","2025-01-12 20:57:22,624870","192.168.1.21","142.250.82.208","UDP","1251","55959  >  3478 Len=1209"
