No.,Time,Source,Destination,Protocol,Length,Info,Label
56,"2025-01-12 20:57:22,615026",192.168.1.21,142.250.82.208,UDP,1073,55959  >  3478 Len=1031,1
57,"2025-01-12 20:57:22,615171",192.168.1.21,142.250.82.208,UDP,1073,55959  >  3478 Len=1031,1
58,"2025-01-12 20:57:22,615221",192.168.1.21,142.250.82.208,UDP,1073,55959  >  3478 Len=1031,1
59,"2025-01-12 20:57:22,624287",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36,0
60,"2025-01-12 20:57:22,624670",192.168.1.21,142.250.82.208,UDP,1250,55959  >  3478 Len=1208,1
61,"2025-01-12 20:57:22,624739",192.168.1.21,142.250.82.208,UDP,1250,55959  >  3478 Len=1208,1
62,"2025-01-12 20:57:22,624762",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209,1
63,"2025-01-12 20:57:22,624783",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209,1
64,"2025-01-12 20:57:22,624801",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209,1
65,"2025-01-12 20:57:22,624833",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209,1
66,"2025-01-12 20:57:22,624870",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209,1
67,"2025-01-12 20:57:22,624883",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209,1
68,"2025-01-12 20:57:22,624912",192.168.1.21,142.250.82.208,UDP,1251,55959  >  3478 Len=1209,1
69,"2025-01-12 20:57:22,631007",192.168.1.21,142.250.82.212,UDP,238,58101  >  3478 Len=196,0
70,"2025-01-12 20:57:22,649768",192.168.1.21,142.250.82.208,UDP,746,55959  >  3478 Len=704,0
71,"2025-01-12 20:57:22,650054",192.168.1.21,142.250.82.208,UDP,746,55959  >  3478 Len=704,0
72,"2025-01-12 20:57:22,651825",192.168.1.21,142.250.82.212,UDP,226,58101  >  3478 Len=184,0
73,"2025-01-12 20:57:22,663582",142.250.82.212,192.168.1.21,RTCP,106,Application specific   subtype=13,0
74,"2025-01-12 20:57:22,663582",142.250.82.208,192.168.1.21,RTCP,130,Application specific   subtype=13,0
75,"2025-01-12 20:57:22,670975",192.168.1.21,142.250.82.212,UDP,157,58101  >  3478 Len=115,0
76,"2025-01-12 20:57:22,685521",192.168.1.21,142.250.82.208,UDP,939,55959  >  3478 Len=897,0
77,"2025-01-12 20:57:22,685613",192.168.1.21,142.250.82.208,UDP,939,55959  >  3478 Len=897,0
78,"2025-01-12 20:57:22,685639",192.168.1.21,142.250.82.208,UDP,940,55959  >  3478 Len=898,0
79,"2025-01-12 20:57:22,712398",142.250.82.212,192.168.1.21,RTCP,110,Application specific   subtype=13,0
80,"2025-01-12 20:57:22,712869",142.250.82.208,192.168.1.21,RTCP,118,Application specific   ( Ghv^ ) subtype=13,0
81,"2025-01-12 20:57:22,718005",142.250.82.212,192.168.1.21,RTCP,258,Sender Report   ,0
82,"2025-01-12 20:57:22,741200",142.250.82.212,192.168.1.21,UDP,174,3478  >  58101 Len=132,0
83,"2025-01-12 20:57:22,741200",142.250.82.212,192.168.1.21,UDP,87,3478  >  58101 Len=45,0
84,"2025-01-12 20:57:22,760123",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
85,"2025-01-12 20:57:22,760217",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
86,"2025-01-12 20:57:22,760230",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
87,"2025-01-12 20:57:22,760246",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
88,"2025-01-12 20:57:22,760255",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
89,"2025-01-12 20:57:22,760280",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
90,"2025-01-12 20:57:22,760461",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
91,"2025-01-12 20:57:22,760500",192.168.1.21,142.250.82.208,UDP,1205,55959  >  3478 Len=1163,1
92,"2025-01-12 20:57:22,760513",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
93,"2025-01-12 20:57:22,760525",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
94,"2025-01-12 20:57:22,760672",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
95,"2025-01-12 20:57:22,760754",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
96,"2025-01-12 20:57:22,760796",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
97,"2025-01-12 20:57:22,760812",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
98,"2025-01-12 20:57:22,760827",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
99,"2025-01-12 20:57:22,760841",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
100,"2025-01-12 20:57:22,760849",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
101,"2025-01-12 20:57:22,760860",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
102,"2025-01-12 20:57:22,760869",192.168.1.21,142.250.82.208,UDP,1206,55959  >  3478 Len=1164,1
103,"2025-01-12 20:57:22,763834",142.250.82.208,192.168.1.21,RTCP,110,Application specific   subtype=13,0
104,"2025-01-12 20:57:22,790571",192.168.1.21,142.250.82.212,STUN,166,Binding Request user: B4xvX7JqxxpKHwoKAAiKYigCIAMQ:aacs,0
105,"2025-01-12 20:57:22,790825",192.168.1.21,142.250.82.212,UDP,86,58101  >  3478 Len=44,0
106,"2025-01-12 20:57:22,798146",192.168.1.21,142.250.82.208,UDP,1196,55959  >  3478 Len=1154,1
107,"2025-01-12 20:57:22,798240",192.168.1.21,142.250.82.208,UDP,1197,55959  >  3478 Len=1155,1
108,"2025-01-12 20:57:22,812902",142.250.82.208,192.168.1.21,RTCP,126,Application specific   subtype=13,0
109,"2025-01-12 20:57:22,821912",192.168.1.21,142.250.82.212,RTCP,90,Receiver Report   ,0
110,"2025-01-12 20:57:22,828166",192.168.1.21,142.250.82.208,UDP,337,55959  >  3478 Len=295,0
111,"2025-01-12 20:57:22,828349",192.168.1.21,142.250.82.208,UDP,1197,55959  >  3478 Len=1155,1
112,"2025-01-12 20:57:22,830328",192.168.1.21,142.250.82.208,UDP,1197,55959  >  3478 Len=1155,1
113,"2025-01-12 20:57:22,830472",192.168.1.21,142.250.82.208,UDP,1197,55959  >  3478 Len=1155,1
114,"2025-01-12 20:57:22,834595",142.250.82.212,192.168.1.21,STUN,106,Binding Success Response XOR-MAPPED-ADDRESS: 46.2.109.6:46181,0
115,"2025-01-12 20:57:22,834814",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
116,"2025-01-12 20:57:22,834910",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
117,"2025-01-12 20:57:22,840237",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
118,"2025-01-12 20:57:22,840340",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
119,"2025-01-12 20:57:22,841233",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
120,"2025-01-12 20:57:22,841280",192.168.1.21,142.250.82.208,UDP,1198,55959  >  3478 Len=1156,1
